DIANA Tool	Version	Type	Short Description	Tool Description	Explicit Description	URLS
miRPath	4	algorithm	miRNA functional analysis	A tool for target-based functional analysis of miRNAs.	Performs enrichment analysis of miRNA targets in biological pathways  to investigate the functional roles of miRNAs in various biological contexts.	http://62.217.122.229:3838/app/miRPathv4
microT	2023	algorithm	miRNA target prediction	A tool for target predictions for miRBase/MirGeneDB miRNAs based on the microT-CDS algorithm.	Predicts miRNA targets in 3'UTR and CDS regions of protein-coding genes for several species, integrating expression data and experimental support from TarBase 9.	https://dianalab.e-ce.uth.gr/microt_webserver/#/
mirExTra	2	algorithm	Regulatory network analysis	Uncovers microRNAs and transcription factors with crucial roles in NGS expression data.	Integrates miRNA and mRNA expression data from NGS experiments to identify key regulatory networks involving miRNAs and transcription factors (TFs).	http://andrea.imis.athena-innovation.gr/mirextra/index.php?r=mirExTra/Index
microCLIP		algorithm	AGO-CLIP data analysis	An AGO-CLIP-guided algorithm for the identification of transcriptome-wide miRNA-target interactions.	Identifies genuine miRNA-target interactions by analyzing Argonaute (AGO) CLIP-Seq data, providing high-confidence, experimentally supported binding sites.	https://dianalab.e-ce.uth.gr/microCLIP/
microTSS		algorithm	miRNA TSS prediction	A machine learning-based algorithm for prediction of intergenic miRNA Transcription Start Sites (TSSs).	Utilizes high-resolution sequencing data and epigenetic marks to accurately predict the starting point of transcription for intergenic miRNAs.	https://dianalab.e-ce.uth.gr/microTSS/
AmrProfiler		algorithm	Antimicrobial resistance profiling	A tool for identifying antimicrobial resistance genes and mutations across species.	Detects acquired antimicrobial resistance (AMR) genes and resistance-conferring mutations in bacterial genomes, including those in rRNA genes.	https://dianalab.e-ce.uth.gr/amrprofiler
DIANA-mAP		algorithm	miRNA NGS pipeline	An automated miRNA analysis pipeline for Next-Generation Sequencing (NGS) data.	A complete, automated workflow that processes raw small RNA-Seq data to perform quantification and differential expression analysis of miRNAs.	https://dianalab.e-ce.uth.gr/diana-map/
miRGen	5	database	miRNA gene annotation	A database of miRNA genomic information and regulation.	Provides comprehensive information on miRNA genes, including their genomic locations and transcriptional regulation.	https://diana.e-ce.uth.gr/mirgenv5
TarBase	9	database	Validated miRNA targets	A database of experimentally supported miRNA targets on protein-coding transcripts.	A comprehensive, manually curated collection of miRNA-gene interactions validated by low- and high-throughput experiments like HITS-CLIP and PAR-CLIP.	https://dianalab.e-ce.uth.gr/tarbasev9
LncBase	3	database	miRNA-lncRNA interactions	A database of experimentally supported miRNA targets on non-coding transcripts.	A repository of validated interactions between miRNAs and long non-coding RNAs (lncRNAs), derived from manual curation and analysis of high-throughput data.	https://diana.e-ce.uth.gr/lncbasev3
Agnodice		database	Bacterial sRNA targets	A database of experimentally supported bacterial sRNA-RNA interactions.	A curated collection of interactions between bacterial small RNAs (sRNAs) and their RNA targets (mRNAs and ncRNAs) across numerous bacterial species.	https://dianalab.e-ce.uth.gr/agnodice/#/
Peryton		database	Microbe-disease associations	A database of experimentally supported microbe-disease associations.	A manually curated resource linking microorganisms (like bacteria and viruses) to various human diseases, based on published experimental evidence.	https://dianalab.e-ce.uth.gr/peryton/#/
miTED		database	miRNA tissue expression	A microRNA Tissue Expression Database from high-throughput data.	Provides miRNA expression profiles across a wide range of human tissues, cell lines, and disease states, based on the analysis of thousands of sRNA-Seq datasets.	https://dianalab.e-ce.uth.gr/mited/#/
plasmir		database	Circulating miRNA biomarkers	A manually curated database of circulating microRNA biomarkers.	A specialized collection of miRNAs found in biofluids (like blood plasma) that have been identified as potential biomarkers for various diseases.	https://dianalab.e-ce.uth.gr/plasmir/#/
